,source,target
0,7.459484988272845e+17,1210627806.0
1,7.459484988272845e+17,326352942.0
2,7.459484988272845e+17,781753796.0
3,7.459484988272845e+17,330328197.0
4,7.459484988272845e+17,1139621516.0
5,7.459484988272845e+17,21383744.0
6,7.459484988272845e+17,330542924.0
7,7.459484988272845e+17,1498985576.0
8,7.459484988272845e+17,37599351.0
9,7.459484988272845e+17,14102386.0
10,7.459484988272845e+17,289461078.0
11,7.459484988272845e+17,1296010872.0
12,7.459484988272845e+17,860884598.0
13,7.459484988272845e+17,8.301878775563837e+17
14,7.459484988272845e+17,104684456.0
15,7.459484988272845e+17,3917258414.0
16,7.459484988272845e+17,3234030582.0
17,7.459484988272845e+17,1.0776669903560294e+18
18,7.459484988272845e+17,12093082.0
19,7.459484988272845e+17,166252198.0
20,1.2890443268158054e+18,1210627806.0
21,1.2890443268158054e+18,8.82656680487551e+17
22,1.2890443268158054e+18,1.0776669903560294e+18
23,1.2890443268158054e+18,537219894.0
24,1.2890443268158054e+18,1932720145.0
25,1.2890443268158054e+18,347715542.0
26,1.2890443268158054e+18,1325283566.0
27,1.2890443268158054e+18,24863440.0
28,1.2890443268158054e+18,912345692.0
29,1.2890443268158054e+18,330328197.0
30,8.778796269655818e+17,1210627806.0
31,8.778796269655818e+17,29130296.0
32,8.778796269655818e+17,615927039.0
33,8.778796269655818e+17,65563900.0
34,8.778796269655818e+17,8.080515182429798e+17
35,8.778796269655818e+17,3335731978.0
36,8.778796269655818e+17,386538440.0
37,8.778796269655818e+17,37599351.0
38,8.778796269655818e+17,1874840533.0
39,8.778796269655818e+17,15210670.0
40,8.778796269655818e+17,359188534.0
41,8.778796269655818e+17,1166603371.0
42,8.778796269655818e+17,3834939257.0
43,8.778796269655818e+17,350509998.0
44,8.778796269655818e+17,46926921.0
45,8.141697275682202e+17,1210627806.0
46,8.141697275682202e+17,3316311421.0
47,8.141697275682202e+17,37885887.0
48,8.141697275682202e+17,846344095.0
49,8.141697275682202e+17,1.0776669903560294e+18
50,8.141697275682202e+17,9.975779918435288e+17
51,8.141697275682202e+17,326352942.0
52,8.141697275682202e+17,1.1743476960958423e+18
53,8.141697275682202e+17,2812472208.0
54,8.141697275682202e+17,1.1743476960958423e+18
55,8.141697275682202e+17,9.975779918435287e+17
56,8.141697275682202e+17,1932720145.0
57,8.141697275682202e+17,166252198.0
58,8.141697275682202e+17,3234030582.0
59,8.141697275682202e+17,57008913.0
60,8.141697275682202e+17,487352746.0
61,8.141697275682202e+17,1135920847.0
62,1.1743476960958423e+18,1210627806.0
63,1.1743476960958423e+18,37885887.0
64,1.1743476960958423e+18,1.0776669903560294e+18
65,1.1743476960958423e+18,9.975779918435287e+17
66,1.1743476960958423e+18,1932720145.0
67,1.1743476960958423e+18,2599964088.0
68,1.1743476960958423e+18,781753796.0
69,1.1743476960958423e+18,184545167.0
70,1.1743476960958423e+18,330328197.0
71,1.1743476960958423e+18,846344095.0
72,1.1743476960958423e+18,134835729.0
73,1.1743476960958423e+18,326352942.0
74,8.82656680487551e+17,1210627806.0
75,8.82656680487551e+17,1.2890443268158054e+18
76,8.82656680487551e+17,1.2967654471242752e+18
77,8.82656680487551e+17,1457851962.0
78,8.82656680487551e+17,1325283566.0
79,8.82656680487551e+17,330328197.0
80,8.82656680487551e+17,35538459.0
81,8.82656680487551e+17,606549267.0
82,8.82656680487551e+17,140137815.0
83,8.82656680487551e+17,302412035.0
84,8.82656680487551e+17,856148305.0
85,8.82656680487551e+17,619965810.0
86,8.82656680487551e+17,25081451.0
87,8.82656680487551e+17,238516153.0
88,8.82656680487551e+17,24863440.0
